id,reputation,upvotes,downvotes,question_count,avg_question_score,avg_question_view_count,answer_count,accepted_answer_count,avg_answer_score,no_of_badges,gold_badge_count,silver_badge_count,bronze_badge_count,badge_score,net_user_upvotes
3424011,1215,754,23,10608,2.5,2074.5,10608,25,0.730769231,10608,0,3432,7176,20904,731
4708150,2715,525,7,124800,1.384615385,732.1538462,124800,54,1.57,124800,0,41600,83200,249600,518
8632294,4293,54,28,17372,3,2030,17372,112,1.128712871,17372,404,5252,11716,36764,26
487064,16361,797,62,1507425,16.28,9807.386667,1507425,46,3.940594059,1507425,136350,552975,818100,4393500,735
3402681,1231,26,9,6396,3,3633.25,6396,18,2.048780488,6396,0,1968,4428,12300,17
506361,2350,71,11,7488,0,506.5,7488,49,1.541666667,7488,0,3072,4416,16704,60
1267015,1436,224,1,16560,2,1203.6,16560,22,1.152173913,16560,0,5060,11500,31740,223
7025361,1195,95,4,8188,1,221,8188,29,0.741573034,8188,0,2492,5696,15664,91
1110621,4022,180,16,1212960,1.428571429,2953.142857,1212960,37,2.733333333,1212960,95760,383040,734160,3223920,164
643591,36284,2094,155,134200,7,2129,134200,415,4.459016393,134200,3355,59048,71797,341539,1939
179545,6382,1553,13,892620,1.793103448,1523.448276,892620,59,2.790123457,892620,18792,375840,497988,2189268,1540
705373,11033,407,19,2556330,2.531914894,3537.755319,2556330,50,4.059459459,2556330,191290,904280,1460760,6990780,388
612266,4467,38,4,50388,15.05882353,22347.11765,50388,32,2.210526316,50388,2907,19380,28101,134691,34
84416,5399,1122,23,46128,5.625,4047.125,46128,26,7.096774194,46128,0,19344,26784,104160,1099
3274024,1338,35,12,3408,0,305.5,3408,26,1.154929577,3408,0,1278,2130,7242,23
939697,1199,95,4,103360,1.117647059,2138.205882,103360,20,0.85,103360,2720,39440,61200,246160,91
958954,8586,150,183,53298,1.333333333,927.3333333,53298,136,1.863221884,53298,2961,22701,27636,148050,-33
7650222,2629,628,9,10320,2.833333333,3721.333333,10320,21,3.75,10320,480,3600,6240,25440,619
12125395,779,11,55,3432,0.5,701.3333333,3432,20,0.727272727,3432,0,1056,2376,6600,-44
7267150,1653,269,22,55814,1.227272727,2301.636364,55814,34,1.033898305,55814,2596,15576,37642,125906,247
741352,2295,458,16,33660,2.363636364,1845.363636,33660,27,2.029411765,33660,0,13464,20196,74052,442
8763847,4607,26,196,36250,2.6,2209.4,36250,67,2.72,36250,625,11875,23750,77500,-170
4194436,5752,409,164,608768,0.862068966,1401.310345,608768,60,1.64453125,608768,37120,215296,356352,1588736,245
431,4501,500,1,170100,2.24,4549.76,170100,30,3.464285714,170100,6300,63000,100800,415800,499
3975214,3478,1241,302,8607,0,354,8607,54,1.523178808,8607,453,3171,4983,22197,939
1195835,3573,572,129,788181,1.114754098,1951.836066,788181,45,1.079096045,788181,32391,280722,475068,1921866,443
173303,6124,112,30,249075,4.780487805,2594.195122,249075,37,4.76,249075,18450,89175,141450,682650,82
462970,5352,84,11,154242,3,2147.736842,154242,39,2.62601626,154242,2337,58425,93480,350550,73
1846480,18988,119,6,36096,3,599,36096,279,3.658854167,36096,1536,16512,18048,99456,113
1347502,1884,266,10,4130,5.5,2683,4130,28,2.101694915,4130,0,1652,2478,9086,256
10617148,1546,1010,47,11070,4.666666667,5695.666667,11070,26,0.955555556,11070,0,3510,7560,21600,963
476380,4700,616,32,21560,2.2,1359.8,21560,41,4.363636364,21560,0,9680,11880,50600,584
277067,8885,280,44,2466016,1.80733945,1094.816514,2466016,45,3.247524752,2466016,66054,814666,1585296,5504500,236
11232091,7520,535,47,1800864,0.625,221.2403846,1800864,166,0.851351351,1800864,92352,323232,1385280,3601728,488
185335,1510,201,54,5760,1.25,592,5760,21,1.683333333,5760,0,2400,3360,12960,147
1767378,1719,221,10,39960,1.583333333,2440.333333,39960,31,0.988888889,39960,1080,12960,25920,88560,211
55925,50987,691,48,2555392,7.75,2370.59375,2555392,123,14.52484472,2555392,154560,1020096,1380736,7006720,643
1337412,1621,338,3,3960,0.5,1879,3960,21,1.590909091,3960,0,1584,2376,8712,335
3071284,6727,2607,24,203616,15.75,14750.29167,203616,33,1.928571429,203616,12096,82656,108864,560448,2583
8757322,4844,15,3,103194,5.185185185,6020.555556,103194,18,5.775510204,103194,5292,34398,63504,254016,12
438838,14056,375,3,31624,5.75,6269.5,31624,24,10.87288136,31624,2832,14160,14632,99592,372
531644,6082,113,1,60698,6.636363636,8245.272727,60698,27,5.314606742,60698,1958,28391,30349,163493,112
2445882,1969,49,11,920,12,1364,920,22,3.043478261,920,0,506,414,2438,38
4466962,2457,573,22,59280,1.3125,790,59280,41,1.568421053,59280,0,16720,42560,109440,551
3283247,1426,188,2,7452,1.333333333,1294,7452,27,1.289855072,7452,0,2484,4968,14904,186
10033584,1015,643,37,5940,0.666666667,932,5940,26,0.75,5940,180,1980,3780,13500,606
2684954,6586,709,357,12432,1,2669,12432,112,2.720238095,12432,672,5040,6720,33600,352
628469,1943,73,9,178080,1.857142857,2191.392857,178080,23,0.886792453,178080,8904,74200,94976,480816,64
351900,7095,657,13,600000,2.825,5627.475,600000,26,8.56,600000,40000,236000,324000,1668000,644
393157,15736,359,26,255420,14.45454545,16282.59091,255420,41,12.94444444,255420,21780,104940,128700,766260,333
13131047,13637,729,2945,826980,0.380952381,1025.190476,826980,445,0.944134078,826980,45108,270648,511224,2044896,-2216
570156,3125,545,0,11742,13,5193.333333,11742,42,1.893203883,11742,618,5871,5253,34917,545
1489354,4158,32,9,641520,2.625,2247.291667,641520,27,2.636363636,641520,28512,242352,370656,1625184,23
247223,9908,528,27,367200,2.15,2024.1,367200,116,3.25,367200,8640,146880,211680,885600,501
10430329,2748,168,119,6612,3.5,3514.5,6612,46,1.570175439,6612,228,1824,4560,14136,49
1821069,2054,1029,99,178752,0.642857143,1961.071429,178752,43,0.833333333,178752,6384,51072,121296,389424,930
157830,2371,94,26,28638,2.166666667,1299.333333,28638,53,1.396396396,28638,666,8658,19314,60606,68
