optimizer,cpu,memory,time,epochs,predictions,dataset,loss,accuracy
adagrad,81.4,78.475,26.9857,2,304.5021,15,0.29111,0.86458
adam,77.775,61.225,32.0057,2,304.5021,16,0.06496,0.98438
adamax,45.275,52.975,46.233,2,87.0006,15,0.07996,0.97396
ftrl,62.925,51.2,32.9408,2,435.0031,15,0.30984,0.86979
nadam,64.925,28.575,30.7948,2,87.0006,15,0.11819,0.95312
sgd,69.25,53.025,39.8085,2,435.0031,14,0.08415,0.94792
rmsprop,64.025,45.55,31.8796,2,217.5015,15,0.08313,0.98438
adadelta,64.75,52.8,36.0991,2,304.5021,13,0.64699,0.61458
adagrad,67.05,29.725,36.0095,2,261.0018,16,0.29251,0.88542
adam,51.125,32.7,32.5972,2,304.5021,15,0.08622,0.96354
adamax,62.55,51.15,38.6849,2,87.0006,15,0.10688,0.96875
ftrl,62.825,58.25,30.5047,2,130.5009,16,0.22166,0.94271
nadam,61.725,39.525,39.5627,2,435.0031,16,0.08425,0.94792
sgd,68.75,49.275,37.5232,2,304.5021,16,0.09223,0.95833
rmsprop,57.15,36.05,37.5388,2,130.5009,16,0.09777,0.97917
adadelta,56.85,59.35,33.5805,2,174.0012,10,0.73818,0.48438
adagrad,63.075,54.35,32.0101,2,261.0018,12,0.39844,0.72917
adam,47.85,60.55,34.015,2,435.0031,16,0.12499,0.94271
adamax,67.625,54.8,40.0617,2,217.5015,15,0.16401,0.9375
ftrl,46.0,56.45,34.6291,2,261.0018,16,0.26929,0.92188
nadam,53.425,58.775,33.3477,2,304.5021,15,0.09033,0.96354
sgd,66.75,62.475,32.1735,2,217.5015,16,0.08257,0.96354
rmsprop,50.175,55.875,34.4572,2,348.0024,16,0.08742,0.97396
adadelta,60.225,54.8,33.588,2,261.0018,9,0.79299,0.50521
adagrad,55.45,29.675,34.3099,2,348.0024,16,0.23627,0.90625
adam,65.7,31.025,36.7293,2,391.5027,15,0.08328,0.96354
adamax,65.8,38.925,34.1245,2,261.0018,13,0.15089,0.92188
ftrl,56.075,51.525,42.9502,2,217.5015,15,0.23687,0.94792
nadam,66.9,53.625,34.6324,2,87.0006,16,0.07734,0.95833
sgd,50.325,52.85,33.9269,2,130.5009,16,0.07877,0.96875
